"target" "subjectID" "experimentID" "rotation" "handedness" "trialID" "RT_LD" "Response_LD" "lexicality_LD" "orderIDLD" "accLD" "rtPrecLD" "accPrecLD" "lexicality" "base" "freqbase" "lengthtarget" "condition" "Old20base" "Old20target" "freqcluster" "cluster" "explInterp"
"acidume" "FLB20" "LDF" "2" "D" "2112" 595 "word" "word" 68 1 534 1 "word" "acido" 3.063 7 "derived" 1 2.75 4.033 "ume" NA
"acidume" "IF14" "LDF" "2" "D" "2112" 695 "word" "word" 57 1 699 1 "word" "acido" 3.063 7 "derived" 1 2.75 4.033 "ume" NA
"acidume" "MC26" "LDF" "2" "D" "2112" 580 "nonword" "word" 44 0 508 1 "word" "acido" 3.063 7 "derived" 1 2.75 4.033 "ume" NA
"agevole" "DM7" "LDF" "1" "D" "2052" 455 "word" "word" 59 1 811 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "VA49" "LDF" "1" "D" "2052" 508 "word" "word" 81 1 591 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "AG25" "LDF" "1" "D" "2052" 618 "word" "word" 53 1 590 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "GC46" "LDF" "4" "D" "2273" 535 "word" "word" 80 1 894 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "VB10" "LDF" "4" "D" "2273" 564 "word" "word" 89 1 569 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "DS31" "LDF" "1" "D" "2052" 733 "word" "word" 44 1 735 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "CF1" "LDF" "1" "D" "2052" 513 "word" "word" 53 1 621 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "FD55" "LDF" "1" "D" "2052" 515 "word" "word" 70 1 601 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "ACV34" "LDF" "4" "S" "2273" 488 "word" "word" 51 1 469 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "ADC28" "LDF" "4" "D" "2273" 591 "word" "word" 51 1 579 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "AC43" "LDF" "1" "D" "2052" 541 "word" "word" 53 1 780 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "LJ22" "LDF" "4" "D" "2273" 601 "word" "word" 39 1 547 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "MVT19" "LDF" "1" "D" "2052" 578 "word" "word" 70 1 802 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "MC16" "LDF" "4" "D" "2273" 857 "word" "word" 94 1 788 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "EM13" "LDF" "1" "D" "2052" 693 "word" "word" 66 1 774 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "FC52" "LDF" "4" "D" "2273" 641 "word" "word" 39 1 671 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "EP37" "LDF" "1" "D" "2052" 704 "word" "word" 31 1 638 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "GP40" "LDF" "4" "D" "2273" 809 "word" "word" 18 1 552 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"agevole" "ADB4" "LDF" "4" "D" "2273" 701 "word" "word" 24 1 583 1 "word" "agio" 3.317 7 "derived" 1 1.85 4.305 "evole" NA
"alberoso" "ZF42" "LDF" "6" "D" "1392" 736 "nonword" "nonword" 47 1 821 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "RE24" "LDF" "6" "S" "1392" 894 "word" "nonword" 22 0 668 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "SP12" "LDF" "6" "S" "1392" 656 "nonword" "nonword" 57 1 625 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "GDL30" "LDF" "6" "D" "1392" 1125 "nonword" "nonword" 70 1 815 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "MV48" "LDF" "6" "D" "1392" 1611 "nonword" "nonword" 70 1 510 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "CC6" "LDF" "6" "D" "1392" 697 "nonword" "nonword" 59 1 750 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
