"trial_ID" "prime" "target_lexicality" "target" "experimentID" "subjectID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "relatedness" "stem" "cluster" "unrelated" "condition" "prime_lexicality" "microblock" "lengthprime" "lengthtarget" "old20target" "old20prime" "freqtarget" "freqprime" "freqcluster"
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "DR33" "1" "S" 640 "nonword" 131 1 1078 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "LS11" "1" "D" 534 "nonword" 233 1 474 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "GS24" "2" "D" 644 "nonword" 19 1 554 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "AM9" "1" "D" 1158 "nonword" 193 1 719 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "MZ17" "1" "D" 545 "nonword" 215 1 482 "0" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "EC43" "1" "D" 601 "nonword" 324 1 621 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "AG38" "2" "D" 532 "nonword" 35 1 509 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "GM10" "2" "D" 622 "nonword" 246 1 607 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "GZ35" "1" "D" 786 "nonword" 208 1 806 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "NJ39" "1" "D" 625 "nonword" 159 1 647 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "EF2" "2" "D" 655 "nonword" 256 1 766 "0" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "LD18" "2" "D" 703 "nonword" 289 1 482 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "FC5" "1" "D" 596 "nonword" 39 1 567 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "RZ20" "2" "D" 744 "nonword" 231 1 699 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "BA22" "2" "S" 1129 "nonword" 220 1 505 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "EDP28" "2" "D" 586 "nonword" 157 1 607 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "ET21" "1" "D" 502 "nonword" 269 1 487 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "FC19" "1" "D" 570 "nonword" 33 1 503 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100103" "cotrusto" "nonword" "ralpa" "SL1_2" "SC15" "1" "D" 698 "nonword" 20 1 511 "1" "unrelated" "cotr" "usto" "cotra" "HF" "nonword" 18 8 5 1.3 2.45 0 0 4.81069614534731
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "MR34" "2" "D" 579 "nonword" 71 1 552 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
