"prime" "trialID" "lexicality" "target" "cluster" "freqtarget" "stemunrelated" "unrelatedfreq" "lengthtarget" "lengthprime" "relatedness" "condition" "old20target" "old20prime" "stem" "freqcluster" "subjectID" "experimentID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "morphInterference" "explInterp"
"accusoso" 21012 "word" "albero" "oso" 3.713 "accusa" 3.606 6 8 "unrelated" "morphological" 1 2.5 "accus" 4.911 "MP15" "MPF" 3 "D" 697 "word" 44 1 769 "1" -0.00472054301516093 -0.03225054251952
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "SE23" "MPF" 5 "D" 785 "word" 61 1 816 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "SS41" "MPF" 5 "D" 588 "word" 55 1 718 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "SP17" "MPF" 5 "D" 530 "word" 61 1 1077 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "AB53" "MPF" 5 "D" 511 "word" 75 1 889 "0" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "RS56" "MPF" 5 "D" 515 "nonword" 125 0 466 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "GL47" "MPF" 5 "S" 452 "word" 155 1 482 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "MN5" "MPF" 5 "S" 611 "word" 151 1 553 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "AC29" "MPF" 5 "D" 556 "word" 60 1 1116 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "SB35" "MPF" 5 "D" 701 "word" 140 1 788 "1" 0.00867310698720283 0.417904683671462
"acetame" 11053 "word" "aceto" "ame" 2.446 "globo" 2.442 5 7 "related" "morphological" 1.1 2.4 "acet" 4.375 "MT11" "MPF" 5 "S" 480 "word" 133 1 637 "1" 0.00867310698720283 0.417904683671462
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "EP37" "MPF" 1 "D" 535 "word" 133 1 1094 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "EM13" "MPF" 1 "D" 593 "word" 151 1 760 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "CF1" "MPF" 1 "D" 572 "word" 55 1 467 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "FD55" "MPF" 1 "D" 566 "word" 134 1 530 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "DM7" "MPF" 1 "D" 520 "word" 170 1 672 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "AG25" "MPF" 1 "D" 430 "word" 35 1 639 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "VA49" "MPF" 1 "D" 389 "word" 140 1 419 "0" NA NA
